1/20/2005,0.00,0.00,7613215612328.37
6/8/2006,4838096046305.27,3536142661883.44,8374238708188.71
6/9/2006,4838686807363.79,3536610360421.96,8375297167785.75
6/12/2006,4839161617479.28,3537005328612.08,8376166946091.36
6/13/2006,4839794958198.57,3540957677639.52,8380752635838.09
6/14/2006,4840377529770.39,3534987521238.09,8375365051008.48
6/15/2006,4797670211829.14,3539620298953.90,8337290510783.04
6/16/2006,4797775283721.39,3541571632709.57,8339346916430.96
6/19/2006,4797927298774.14,3546407654250.11,8344334953024.25
6/20/2006,4798392882643.68,3550637704480.76,8349030587124.44
6/21/2006,4798485866875.87,3548404398376.78,8346890265252.65
6/22/2006,4786725033795.42,3553052316087.35,8339777349882.77
6/23/2006,4786829792453.87,3556547122758.51,8343376915212.38
6/26/2006,4787408183576.38,3559182627089.27,8346590810665.65
6/27/2006,4787915600566.06,3562319205388.17,8350234805954.23
6/28/2006,4788847973169.16,3556961063379.39,8345809036548.55
6/29/2006,4785881593860.51,3554126971331.05,8340008565191.56
6/30/2006,4797203565138.78,3622838382753.41,8420041947892.19
7/3/2006,4790258308791.07,3609079311438.46,8399337620229.53
7/5/2006,4790476512630.92,3617919221244.37,8408395733875.29
7/6/2006,4789669198550.15,3619749070616.69,8409418269166.84
7/7/2006,4789635507414.27,3620646058558.39,8410281565972.66
7/10/2006,4789841715784.59,3618391215081.33,8408232930865.92
7/11/2006,4789892838552.69,3623355393835.20,8413248232387.89
7/12/2006,4790156358426.22,3618290043090.23,8408446401516.45
7/13/2006,4796439080289.52,3619735358381.17,8416174438670.69
7/14/2006,4796819183433.82,3619221355703.30,8416040539137.12
7/17/2006,4784435456969.46,3620378548295.53,8404814005264.99
7/18/2006,4785195482653.25,3626834939776.54,8412030422429.79
7/19/2006,4785987835891.60,3622056168609.23,8408044004500.83
7/20/2006,4790282708018.38,3625358328222.61,8415641036240.99
7/21/2006,4790159108210.59,3626019772126.63,8416178880337.22
7/24/2006,4790271324559.40,3627301942750.33,8417573267309.73
7/25/2006,4790444153304.10,3629478960807.92,8419923114112.02
7/26/2006,4791057334592.36,3626437412845.21,8417494747437.57
7/27/2006,4799235649512.92,3627260660206.21,8426496309719.13
7/28/2006,4799288535276.07,3621661113932.82,8420949649208.89
7/31/2006,4819732427280.70,3624614379572.38,8444346806853.08
8/1/2006,4817319303526.10,3618984273699.05,8436303577225.15
8/2/2006,4817380186405.50,3623377695143.27,8440757881548.77
8/3/2006,4829351659918.44,3618968900330.79,8448320560249.23
8/4/2006,4829245717645.55,3619242780528.00,8448488498173.55
8/7/2006,4829339156875.87,3621758139529.32,8451097296405.19
8/8/2006,4829273797400.85,3625843406020.37,8455117203421.22
8/9/2006,4829437496091.44,3618725279110.50,8448162775201.94
8/10/2006,4840790290052.19,3620168177038.64,8460958467090.83
8/11/2006,4840880467835.13,3619177842830.61,8460058310665.74
8/14/2006,4840999340103.23,3618959699217.36,8459959039320.59
8/15/2006,4861305713140.71,3625871464797.96,8487177177938.67
8/16/2006,4861437778277.37,3622216305638.51,8483654083915.88
8/17/2006,4873589180274.75,3627397537080.31,8500986717355.06
8/18/2006,4873518209199.54,3627413838399.62,8500932047599.16
8/21/2006,4873642080250.97,3629588681499.94,8503230761750.91
8/22/2006,4873787619346.80,3632657495398.46,8506445114745.26
8/23/2006,4874046443173.93,3629498086872.12,8503544530046.05
8/24/2006,4875871296958.75,3631238370793.04,8507109667751.79
8/25/2006,4876022745420.90,3629742298113.68,8505765043534.58
8/28/2006,4875933793696.22,3628746351802.36,8504680145498.58
8/29/2006,4876078741533.57,3632074061751.91,8508152803285.48
8/30/2006,4876337116013.35,3627048372347.34,8503385488360.69
8/31/2006,4884685325020.02,3630348327059.60,8515033652079.62
9/1/2006,4911146146220.77,3608036100568.65,8519182246789.42
9/5/2006,4911327684216.78,3613561784309.58,8524889468526.36
9/6/2006,4912174352648.37,3617783279285.10,8529957631933.47
9/7/2006,4913331556755.44,3616731643719.99,8530063200475.43
9/8/2006,4913385187134.01,3615541787825.38,8528926974959.39
9/11/2006,4913395514125.35,3617769914579.04,8531165428704.39
9/12/2006,4913636719740.10,3620996625154.72,8534633344894.82
9/13/2006,4913614786440.53,3616375186757.08,8529989973197.61
9/14/2006,4908195236911.89,3618840632211.96,8527035869123.85
9/15/2006,4867180364344.06,3620200642451.60,8487381006795.66
9/18/2006,4867175646510.97,3623156463869.70,8490332110380.67
9/19/2006,4867094217496.23,3629763158163.95,8496857375660.18
9/20/2006,4867320371122.91,3626771499565.59,8494091870688.50
9/21/2006,4853587087391.35,3630783863212.84,8484370950604.19
9/22/2006,4853630950295.67,3630734044016.20,8484364994311.87
9/25/2006,4853685383990.30,3632049786083.12,8485735170073.42
9/26/2006,4854457896167.63,3636142924207.22,8490600820374.85
9/27/2006,4854645665061.61,3632450641497.94,8487096306559.55
9/28/2006,4843013415332.28,3630670721128.34,8473684136460.62
9/29/2006,4843120736192.43,3663853163022.80,8506973899215.23
10/2/2006,4850288721360.86,3698095389253.42,8548384110614.28
10/3/2006,4850529451947.23,3697107164560.62,8547636616507.85
10/4/2006,4851026501563.57,3694751074261.90,8545777575825.47
10/5/2006,4849613304146.55,3695435183414.44,8545048487560.99
10/6/2006,4849749364148.50,3697234509460.50,8546983873609.00
10/10/2006,4849864796529.26,3696411444074.59,8546276240603.85
10/11/2006,4850465400774.43,3694502975226.45,8544968376000.88
10/12/2006,4851779258334.19,3694325520561.53,8546104778895.72
10/13/2006,4851631322508.09,3695020506434.11,8546651828942.20
10/16/2006,4838391960146.83,3698567332147.77,8536959292294.60
10/17/2006,4839140785499.66,3704901254837.79,8544042040337.45
10/18/2006,4840387353742.11,3699664376039.21,8540051729781.32
10/19/2006,4846477624829.46,3701593787209.30,8548071412038.76
10/20/2006,4846672115978.87,3702629586589.01,8549301702567.88
10/23/2006,4846998435662.99,3703749034824.56,8550747470487.55
10/24/2006,4847383288045.99,3707108390621.02,8554491678667.01
10/25/2006,4847701708769.68,3702648931903.37,8550350640673.05
10/26/2006,4861239284448.88,3704562692727.28,8565801977176.16
10/27/2006,4861275131152.10,3704737308865.05,8566012440017.15
10/30/2006,4861326347929.56,3701129085565.63,8562455433495.19
10/31/2006,4880611427682.72,3703717927882.65,8584329355565.37
11/1/2006,4879522580085.45,3692272254997.28,8571794835082.73
11/2/2006,4894461296553.39,3699199010281.28,8593660306834.67
11/3/2006,4894548286293.99,3690949579962.34,8585497866256.33
11/6/2006,4894606019704.48,3693728964696.16,8588334984400.64
11/7/2006,4894841565577.18,3697719976686.12,8592561542263.30
11/8/2006,4895477051992.03,3692900009645.45,8588377061637.48
11/9/2006,4910382075633.35,3693283966001.23,8603666041634.58
11/10/2006,4910206743417.99,3693579530878.36,8603786274296.35
11/13/2006,4910018409498.61,3693265471764.20,8603283881262.81
11/14/2006,4910703196236.64,3696718179041.77,8607421375278.41
11/15/2006,4900287240741.54,3694589428512.34,8594876669253.88
11/16/2006,4909526107181.92,3697160202620.23,8606686309802.15
11/17/2006,4909528783619.69,3699217071840.62,8608745855460.31
11/20/2006,4909151133431.75,3699824617665.47,8608975751097.22
11/21/2006,4909877976168.01,3703595782712.56,8613473758880.57
11/22/2006,4909770661586.15,3700138553604.10,8609909215190.25
11/24/2006,4920158909794.45,3702944390744.29,8623103300538.74
11/27/2006,4919859952221.69,3706695056940.59,8626555009162.28
11/28/2006,4920073833087.75,3708306284342.90,8628380117430.65
11/29/2006,4920983368955.71,3703312598066.64,8624295967022.35
11/30/2006,4929567181031.48,3703678427313.69,8633245608345.17
12/1/2006,4955424198245.65,3680172739040.41,8635596937286.06
12/4/2006,4955353395652.33,3684657888718.72,8640011284371.05
12/5/2006,4966738616729.58,3688608134101.67,8655346750831.25
12/6/2006,4967205445012.41,3686593550152.76,8653798995165.17
12/7/2006,4967101935904.60,3686856709465.07,8653958645369.67
12/8/2006,4966647805914.53,3688756161676.45,8655403967590.98
12/11/2006,4966394456043.33,3688960182654.88,8655354638698.21
12/12/2006,4967561414607.80,3692869892326.39,8660431306934.19
12/13/2006,4969453511607.76,3687421149254.46,8656874660862.22
12/14/2006,4960187164095.39,3688619327816.20,8648806491911.59
12/15/2006,4928253682863.54,3683648975440.67,8611902658304.21
12/18/2006,4927909306608.36,3686404542739.92,8614313849348.28
12/19/2006,4928643917354.20,3693489687937.42,8622133605291.62
12/20/2006,4930406613587.98,3688586879309.26,8618993492897.24
12/21/2006,4917406505568.35,3692597753321.87,8610004258890.22
12/22/2006,4917324313345.44,3694322833106.06,8611647146451.50
12/26/2006,4917000943190.01,3698420268260.73,8615421211450.74
12/27/2006,4917453234513.97,3697303976429.39,8614757210943.36
12/28/2006,4900599715596.00,3692476463560.67,8593076179156.67
12/29/2006,4901046516367.78,3779177863718.40,8680224380086.18
1/2/2007,4906145745540.04,3772083578665.37,8678229324205.41
1/3/2007,4906387642060.28,3770826613252.79,8677214255313.07
1/4/2007,4898816127068.69,3771780115904.35,8670596242973.04
1/5/2007,4898650116851.97,3774502329214.86,8673152446066.83
1/8/2007,4898353058455.66,3774456762962.08,8672809821417.74
1/9/2007,4899922862005.52,3777779371076.59,8677702233082.11
1/10/2007,4900148786733.81,3773218286931.95,8673367073665.76
1/11/2007,4899285748421.81,3775048798545.08,8674334546966.89
1/12/2007,4899372232476.19,3774878959332.57,8674251191808.76
1/16/2007,4889977193543.40,3778438061528.13,8668415255071.53
1/17/2007,4890300912052.12,3781658104303.55,8671959016355.67
1/18/2007,4888465602419.67,3784199024164.81,8672664626584.48
1/19/2007,4888251535177.46,3786833548360.02,8675085083537.48
1/22/2007,4888095549841.50,3788572872664.36,8676668422505.86
1/23/2007,4888595088378.80,3793050534562.75,8681645622941.55
1/24/2007,4890430307259.76,3789388384913.86,8679818692173.62
1/25/2007,4890714472208.82,3792757080494.58,8683471552703.40
1/26/2007,4890833829587.06,3792380393710.61,8683214223297.67
1/29/2007,4894165071856.21,3793850798085.54,8688015869941.75
1/30/2007,4894707291414.68,3793486106730.42,8688193398145.10
1/31/2007,4913960890707.78,3793600173259.34,8707561063967.12
2/1/2007,4914825624699.78,3780077144391.40,8694902769091.18
2/2/2007,4914957810633.48,3778394997741.09,8693352808374.57
2/5/2007,4914810958403.90,3781542616809.34,8696353575213.24
2/6/2007,4914809626545.97,3785172262606.71,8699981889152.68
2/7/2007,4915441130728.18,3784357382082.40,8699798512810.58
2/8/2007,4927587830502.69,3786124749634.98,8713712580137.67
2/9/2007,4927604014508.48,3785966326580.94,8713570341089.42
2/12/2007,4927672571064.60,3786299589012.70,8713972160077.30
2/13/2007,4928139436811.83,3790339431633.61,8718478868445.44
2/14/2007,4928311563667.16,3784915933444.32,8713227497111.48
2/15/2007,4947664950904.39,3791035411527.64,8738700362432.03
2/16/2007,4953788736314.78,3792262545492.97,8746051281807.75
2/20/2007,4954255750455.69,3797891693113.36,8752147443569.05
2/21/2007,4954721573002.83,3797757195339.85,8752478768342.68
2/22/2007,4970836541497.28,3797777713284.60,8768614254781.88
2/23/2007,4970761916439.47,3798733288207.59,8769495204647.06
2/26/2007,4970773951580.48,3802273053553.77,8773047005134.25
2/27/2007,4971384422846.15,3802725735564.34,8774110158410.49
2/28/2007,4979111025291.64,3798999871306.30,8778110896597.94
3/1/2007,5000186307661.74,3788493981775.33,8788680289437.07
3/2/2007,5023327901876.81,3785492239576.45,8808820141453.26
3/5/2007,5024347272373.68,3787784741175.10,8812132013548.78
3/6/2007,5027340519474.88,3791789678266.17,8819130197741.05
3/7/2007,5028459896088.18,3790153894971.62,8818613791059.80
3/8/2007,5042012849289.92,3791171098457.31,8833183947747.23
3/9/2007,5041611110962.66,3790881786097.66,8832492897060.32
3/12/2007,5041373406144.03,3791660464269.03,8833033870413.06
3/13/2007,5041379017247.78,3796913248476.98,8838292265724.76
3/14/2007,5041456497712.17,3791594773979.54,8833051271691.71
3/15/2007,5032193897217.96,3793873454874.22,8826067352092.18
3/16/2007,5032362236392.61,3795406794712.75,8827769031105.36
3/19/2007,5032628085890.53,3801827726066.37,8834455811956.90
3/20/2007,5033009615903.56,3804983690744.91,8837993306648.47
3/21/2007,5034003895116.59,3799851447279.37,8833855342395.96
3/22/2007,5035921184620.98,3796761321245.54,8832682505866.52
3/23/2007,5035939237329.98,3802003662734.79,8837942900064.77
3/26/2007,5035822850995.10,3806249165954.17,8842072016949.27
3/27/2007,5036907843163.03,3809349427065.85,8846257270228.88
3/28/2007,5037512915684.21,3803412265376.17,8840925181060.38
3/29/2007,5036526586006.40,3800325691705.27,8836852277711.67
3/30/2007,5053940043633.51,3795725164861.92,8849665208495.43
4/2/2007,5058762478228.82,3791593576399.51,8850356054628.33
4/3/2007,5076278442417.99,3792531523624.40,8868809966042.39
4/4/2007,5076445047680.09,3793343808706.60,8869788856386.69
4/5/2007,5086973818365.87,3798184469845.85,8885158288211.72
4/6/2007,5086952883549.32,3794703538547.73,8881656422097.05
4/9/2007,5087320667434.91,3795891821084.16,8883212488519.07
4/10/2007,5087470848259.80,3799509812512.97,8886980660772.77
4/11/2007,5091801910817.06,3794391616398.19,8886193527215.25
4/12/2007,5086556897300.21,3797189113950.61,8883746011250.82
4/13/2007,5094775716087.73,3798276308887.65,8893052024975.38
4/16/2007,5067017075757.44,3802366823656.33,8869383899413.77
4/17/2007,5036278366972.42,3812547997889.44,8848826364861.86
4/18/2007,5029374562070.06,3812965525863.97,8842340087934.03
4/19/2007,5006984860918.55,3815089423063.51,8822074283982.06
4/20/2007,5007096812536.69,3817734375302.83,8824831187839.52
4/23/2007,5007148212960.89,3820338817559.00,8827487030519.89
4/24/2007,5007746996216.57,3827787232248.32,8835534228464.89
4/25/2007,5009026592580.37,3825470593596.09,8834497186176.46
4/26/2007,4988448327951.65,3829374798283.34,8817823126234.99
4/27/2007,4988515606562.97,3827028611948.71,8815544218511.68
4/30/2007,5007058051986.64,3833110332444.19,8840168384430.83
5/1/2007,5004399622497.17,3820226761484.20,8824626383981.37
5/2/2007,5004774605884.47,3831155902159.68,8835930508044.15
5/3/2007,4987674673012.51,3826591805805.36,8814266478817.87
5/4/2007,4987899131364.04,3828110524360.59,8816009655724.63
5/7/2007,4988204661374.66,3831845647942.06,8820050309316.72
5/8/2007,4988537724956.92,3839535576048.81,8828073301005.73
5/9/2007,4989455622680.08,3833051851745.78,8822507474425.86
5/10/2007,4981480739883.24,3835530237863.06,8817010977746.30
5/11/2007,4981702159760.97,3836861829404.03,8818563989165.00
5/14/2007,4981933552201.59,3837764299124.86,8819697851326.45
5/15/2007,4959485268418.13,3843768649882.54,8803253918300.67
5/16/2007,4960801102281.05,3839983625321.88,8800784727602.93
5/17/2007,4960197499732.96,3844263875756.16,8804461375489.12
5/18/2007,4960740368158.02,3843823458403.35,8804563826561.37
5/21/2007,4961570381529.84,3845277978592.23,8806848360122.07
5/22/2007,4962109684210.94,3849319924284.47,8811429608495.41
5/23/2007,4962842642286.33,3846194356344.73,8809036998631.06
5/24/2007,4967930353580.69,3848323180788.12,8816253534368.81
5/25/2007,4968043161334.62,3848250011729.49,8816293173064.11
5/29/2007,4968574712750.94,3849825798533.68,8818400511284.62
5/30/2007,4970449859064.12,3848827566235.66,8819277425299.78
5/31/2007,4980871453801.81,3848121005858.91,8828992459660.72
6/1/2007,5004206745802.95,3824098179638.06,8828304925441.01
6/4/2007,5004684363923.37,3826942214882.26,8831626578805.63
6/5/2007,5017104402824.82,3833689639727.63,8850794042552.45
6/6/2007,5017115422665.85,3831986056049.77,8849101478715.62
6/7/2007,5012218557618.75,3830346368481.07,8842564926099.82
6/8/2007,5012413541689.16,3832776168370.08,8845189710059.24
6/11/2007,5012748781660.83,3834236439684.74,8846985221345.57
6/12/2007,5012905420218.16,3837946412847.20,8850851833065.36
6/13/2007,5013832384619.53,3833161448510.64,8846993833130.17
6/14/2007,5000036445717.42,3835232151464.53,8835268597181.95
6/15/2007,4966437465360.51,3837651181594.46,8804088646954.97
6/18/2007,4966541053598.30,3841716665469.13,8808257719067.43
6/19/2007,4967798027669.58,3849284476414.47,8817082504084.05
6/20/2007,4968047472798.54,3845716929387.86,8813764402186.40
6/21/2007,4950410768831.81,3850271376787.89,8800682145619.70
6/22/2007,4950586161721.14,3852643882285.79,8803230044006.93
6/25/2007,4950662396067.18,3856239279801.68,8806901675868.86
6/26/2007,4951221935905.18,3859773680205.16,8810995616110.34
6/27/2007,4952125932307.31,3853775277258.93,8805901209566.24
6/28/2007,4942745658811.28,3850748720426.13,8793494379237.41
6/29/2007,4943089820238.26,3924585456513.39,8867675276751.65
7/2/2007,4948714972663.73,3920555192208.13,8869270164871.86
7/3/2007,4949386191143.06,3921071818580.54,8870458009723.60
7/5/2007,4950423070783.07,3922342205775.60,8872765276558.67
7/6/2007,4950793230758.07,3925087424653.24,8875880655411.31
7/9/2007,4950997596140.44,3923299022730.01,8874296618870.45
7/10/2007,4951436812186.55,3926577221734.75,8878014033921.30
7/11/2007,4952431159067.92,3920568799765.08,8872999958833.00
7/12/2007,4955494616361.47,3922555952317.75,8878050568679.22
7/13/2007,4955833768961.18,3921932801476.38,8877766570437.56
7/16/2007,4963033454246.13,3923526606916.14,8886560061162.27
7/17/2007,4963303736598.29,3930646368765.67,8893950105363.96
7/18/2007,4963324458869.97,3925198197877.99,8888522656747.96
7/19/2007,4969548255338.18,3928305929748.78,8897854185086.96
7/20/2007,4969447803095.90,3929099956180.92,8898547759276.82
7/23/2007,4969407629390.18,3929795759579.98,8899203388970.16
7/24/2007,4969370798874.79,3933930773674.88,8903301572549.67
7/25/2007,4969515325588.36,3930292834525.11,8899808160113.47
7/26/2007,4983370185439.87,3931067268506.34,8914437453946.21
7/27/2007,4983571646171.85,3935475031860.15,8919046678032.00
7/30/2007,4983978966853.70,3925771444235.07,8909750411088.77
7/31/2007,5003716733048.46,3928721566851.08,8932438299899.54
8/1/2007,4999866984024.97,3913591710087.47,8913458694112.44
8/2/2007,5023484476862.80,3922019991513.19,8945504468375.99
8/3/2007,5023416016859.97,3915511177807.95,8938927194667.92
8/6/2007,5023464569634.11,3918918952374.50,8942383522008.61
8/7/2007,5024000906449.33,3923087900139.42,8947088806588.75
8/8/2007,5024291221680.53,3917679863676.00,8941971085356.53
8/9/2007,5052663211939.52,3917139916849.95,8969803128789.47
8/10/2007,5052796831878.58,3915811124171.03,8968607956049.61
8/13/2007,5053090956960.90,3916845240129.29,8969936197090.19
8/14/2007,5053519869211.92,3920570001402.46,8974089870614.38
8/15/2007,5046912274480.11,3918213514227.46,8965125788707.57
8/16/2007,5046697105677.04,3921146283536.86,8967843389213.90
8/17/2007,5047673227074.38,3924568441066.67,8972241668141.05
8/20/2007,5047971746751.58,3924241098626.56,8972212845378.14
8/21/2007,5048734707138.41,3927556996656.93,8976291703795.34
8/22/2007,5049429472510.43,3921947992878.10,8971377465388.53
8/23/2007,5055033247974.35,3925142300034.12,8980175548008.47
8/24/2007,5054956878341.09,3925685883628.87,8980642761969.96
8/27/2007,5054962730795.07,3924899856568.39,8979862587363.46
8/28/2007,5055627850653.73,3928588667862.16,8984216518515.89
8/29/2007,5055415464601.98,3927933761997.52,8983349226599.50
8/30/2007,5065355678062.61,3924265562825.39,8989621240888.00
8/31/2007,5096938116500.60,3908710444762.10,9005648561262.70
9/4/2007,5093470584789.90,3901675320930.72,8995145905720.62
9/5/2007,5094443982042.36,3911520279175.23,9005964261217.59
9/6/2007,5098809913353.79,3910600162505.88,9009410075859.67
9/7/2007,5098996710518.41,3910886448269.87,9009883158788.28
9/10/2007,5098505374539.79,3910340399827.59,9008845774367.38
9/11/2007,5098691365037.27,3916904094984.62,9015595460021.89
9/12/2007,5099431019789.41,3912016817174.88,9011447836964.29
9/13/2007,5101405869238.47,3914882137040.74,9016288006279.21
9/14/2007,5101434187251.81,3915685682267.56,9017119869519.37
9/17/2007,5082365257608.16,3918096071689.61,9000461329297.77
9/18/2007,5082459281884.95,3927533306934.35,9009992588819.30
9/19/2007,5082767303028.70,3923781120986.17,9006548424014.87
9/20/2007,5065946971022.69,3924005812294.84,8989952783317.53
9/21/2007,5066524192454.46,3924798821089.55,8991323013544.01
9/24/2007,5066560425665.34,3927135388792.57,8993695814457.91
9/25/2007,5066939229915.80,3932957351524.82,8999896581440.62
9/26/2007,5066894781591.59,3927463067391.87,8994357848983.46
